Symbol,Timeframe,Price,MA50,MA150,MA200,MA200 slope %,52W High,52W Low,% Above 52W Low,% Below 52W High,RS Rating,Score,TradingView,P > MA50,P > MA150,P > MA200,MA50 > MA150,MA150 > MA200,MA200 Rising,25% Above 52W Low,Within 25% 52W High,RS > Threshold
EMIL,4h,200.22000122070312,184.59540069580078,154.28380040486653,144.40120021820067,9.512699168253192,202.86000061035156,84.9000015258789,135.83038589189283,1.3185492825656064,95.0,9,https://www.tradingview.com/symbols/EMIL/?exchange=NSE,True,True,True,True,True,True,True,True,True
SAILIFE,4h,1593.0,1555.0700024414064,1381.8720035807291,1319.7250024414063,7.792202673621285,1697.0,783.8499755859375,103.22766468280018,6.528562460765852,94.86111111111111,9,https://www.tradingview.com/symbols/SAILIFE/?exchange=NSE,True,True,True,True,True,True,True,True,True
REDINGTON,4h,406.8500061035156,378.66,321.7374003092448,297.861600112915,10.226663655581225,419.5,187.19874597305954,117.33586087273622,3.1092524779920527,94.58333333333333,9,https://www.tradingview.com/symbols/REDINGTON/?exchange=NSE,True,True,True,True,True,True,True,True,True
ENTERO,4h,1815.5,1763.9880004882812,1408.8686637369792,1357.6664990234376,7.502986246698029,1920.0,944.0,92.31991525423729,5.755990085375928,94.44444444444444,9,https://www.tradingview.com/symbols/ENTERO/?exchange=NSE,True,True,True,True,True,True,True,True,True
QPOWER,4h,1517.800048828125,1445.9439965820313,1280.9693326822917,1241.5399996948242,3.077167384907531,1568.943822130586,580.4955789253012,161.4662546850227,3.369598870546131,93.88888888888889,9,https://www.tradingview.com/symbols/QPOWER/?exchange=NSE,True,True,True,True,True,True,True,True,True
DYNAMATECH,4h,13153.0,11884.92,11068.473333333333,11024.16,1.3067498869689054,13287.0,6707.758197256808,96.08637659865298,1.018778985782709,93.61111111111111,9,https://www.tradingview.com/symbols/DYNAMATECH/?exchange=NSE,True,True,True,True,True,True,True,True,True
RAIN,4h,218.83999633789062,209.52660064697267,207.9918667602539,198.7382999420166,7.4782786115079825,250.82236847510148,99.43315286007488,120.08755635642814,14.61450039865191,93.47222222222223,9,https://www.tradingview.com/symbols/RAIN/?exchange=NSE,True,True,True,True,True,True,True,True,True
GMMPFAUDLR,4h,1500.0,1233.8049938964843,974.3056660970052,938.2364996337891,8.098269667716451,1533.5999755859375,734.1152411860135,104.32759270556042,2.239998372395835,93.19444444444444,9,https://www.tradingview.com/symbols/GMMPFAUDLR/?exchange=NSE,True,True,True,True,True,True,True,True,True
ACMESOLAR,4h,439.6499938964844,414.52199890136717,383.3329988606771,363.84624923706053,6.040370425171204,476.8999938964844,195.72747422084996,124.6235464114779,8.4726488154508,93.05555555555556,9,https://www.tradingview.com/symbols/ACMESOLAR/?exchange=NSE,True,True,True,True,True,True,True,True,True
DIVISLAB,4h,9619.5,9230.34,8015.366666666667,7693.8675,6.946870718063858,9740.0,5613.352076705792,71.36819263339751,1.2526638598679751,92.91666666666667,9,https://www.tradingview.com/symbols/DIVISLAB/?exchange=NSE,True,True,True,True,True,True,True,True,True
OPTIEMUS,4h,758.0,607.6160009765625,562.6493330891927,528.2917497253418,7.22702786041074,850.6500244140625,288.0,163.19444444444446,12.222958365971316,92.77777777777779,9,https://www.tradingview.com/symbols/OPTIEMUS/?exchange=NSE,True,True,True,True,True,True,True,True,True
SHRIPISTON,4h,4741.0,4522.267978515625,4301.322646484375,4073.7764868164063,3.8668029182544528,4789.10009765625,2518.619011912407,88.23807719930304,1.014555951407936,92.63888888888889,9,https://www.tradingview.com/symbols/SHRIPISTON/?exchange=NSE,True,True,True,True,True,True,True,True,True
ICIL,4h,446.1499938964844,441.80900024414063,417.2633333333333,390.4792501831055,8.035008515187968,485.95001220703125,216.04358355223812,106.50925454983846,8.92077078449569,92.36111111111111,9,https://www.tradingview.com/symbols/ICIL/?exchange=NSE,True,True,True,True,True,True,True,True,True
NAVINFLUOR,4h,8584.5,8486.47,7974.68,7745.92,4.558167661954804,8949.5,4488.291781017636,91.26430318782941,4.251849263206942,92.08333333333333,9,https://www.tradingview.com/symbols/NAVINFLUOR/?exchange=NSE,True,True,True,True,True,True,True,True,True
ENGINERSIN,4h,314.0,271.868600769043,248.6001338704427,246.2887506866455,2.684190682531429,318.8999938964844,161.02693362262252,94.99843469408675,1.5605076103453408,91.94444444444444,9,https://www.tradingview.com/symbols/ENGINERSIN/?exchange=NSE,True,True,True,True,True,True,True,True,True
GLAND,4h,2913.0,2901.18400390625,2634.373338216146,2512.0015002441405,8.237180515068054,3042.0,1561.8007505195303,86.51546934082313,4.4284243048403615,91.66666666666666,9,https://www.tradingview.com/symbols/GLAND/?exchange=NSE,True,True,True,True,True,True,True,True,True
SHAREINDIA,4h,209.6199951171875,189.34620056152343,171.97480016072592,163.98065029144288,5.740381280494811,233.35000610351562,114.693516995367,82.76533897347922,11.320490191339783,91.52777777777777,9,https://www.tradingview.com/symbols/SHAREINDIA/?exchange=NSE,True,True,True,True,True,True,True,True,True
WOCKPHARMA,4h,2263.89990234375,2071.3760009765624,1970.052002766927,1915.7370013427735,6.898971392553355,2422.300048828125,1086.699951171875,108.3279657740305,6.996782248207523,91.38888888888889,9,https://www.tradingview.com/symbols/WOCKPHARMA/?exchange=NSE,True,True,True,True,True,True,True,True,True
YATHARTH,4h,1122.0,1009.7510009765625,900.8056669108073,882.4727508544922,5.446809547437881,1184.0,537.9315639475303,108.57671778290361,5.525846702317283,91.11111111111111,9,https://www.tradingview.com/symbols/YATHARTH/?exchange=NSE,True,True,True,True,True,True,True,True,True
MSTCLTD,4h,735.0499877929688,734.8540002441406,672.3036657714844,617.4542486572266,8.515304049222138,795.731978165477,357.9805560549056,105.332377795466,8.255491650943302,90.97222222222221,9,https://www.tradingview.com/symbols/MSTCLTD/?exchange=NSE,True,True,True,True,True,True,True,True,True
WELENT,4h,754.5,741.9920007324218,640.6660005696615,609.3130003356933,8.339934484432842,841.9000244140625,409.9812045484441,84.03282678068402,11.583833587019555,90.83333333333333,9,https://www.tradingview.com/symbols/WELENT/?exchange=NSE,True,True,True,True,True,True,True,True,True
RADICO,4h,4557.10009765625,4503.96,4256.980013020833,4066.6990087890626,5.505145454102878,4747.0,2494.465428414862,82.68844481649577,4.167121596504253,90.13888888888889,9,https://www.tradingview.com/symbols/RADICO/?exchange=NSE,True,True,True,True,True,True,True,True,True
