Symbol,Timeframe,Price,MA50,MA150,MA200,MA200 slope %,52W High,52W Low,% Above 52W Low,% Below 52W High,RS Rating,Score,TradingView,P > MA50,P > MA150,P > MA200,MA50 > MA150,MA150 > MA200,MA200 Rising,25% Above 52W Low,Within 25% 52W High,RS > Threshold
STLTECH,daily,813.6500244140625,664.9400030517578,467.9136000569661,377.7120499038696,23.637494312753415,912.0,84.5999984741211,861.7612755193556,12.087503550038313,100.0,9,https://www.tradingview.com/symbols/STLTECH/?exchange=NSE,True,True,True,True,True,True,True,True,True
WELCORP,daily,2762.699951171875,2088.77201171875,1468.662508138021,1297.6560385131836,16.16627105301052,2797.60009765625,707.6502693631002,290.4047056547243,1.2632622833171236,99.72260748959778,9,https://www.tradingview.com/symbols/WELCORP/?exchange=NSE,True,True,True,True,True,True,True,True,True
MTARTECH,daily,7015.5,6699.08,6077.658668619792,5230.418000488281,10.636828066330374,8714.0,1757.0,299.28856004553217,24.210676359489703,99.58391123439667,9,https://www.tradingview.com/symbols/MTARTECH/?exchange=NSE,True,True,True,True,True,True,True,True,True
SHILPAMED,daily,1070.800048828125,798.8048022460938,563.7717926025391,500.3471696472168,14.34063680713582,1075.0,259.33715759272434,312.8988143341038,0.39222553047801867,99.44521497919555,9,https://www.tradingview.com/symbols/SHILPAMED/?exchange=NSE,True,True,True,True,True,True,True,True,True
DIACABS,daily,376.04998779296875,331.27699890136716,223.32106602986653,201.13829956054687,12.596827328252092,404.0,115.56999969482422,225.38720151074818,7.4325257583624404,99.16782246879335,9,https://www.tradingview.com/symbols/DIACABS/?exchange=NSE,True,True,True,True,True,True,True,True,True
AVALON,daily,2485.89990234375,2031.2380126953126,1532.908673095703,1376.4165054321288,11.195631659133909,2618.0,777.2999877929688,219.81216279214212,5.313974932446142,99.02912621359224,9,https://www.tradingview.com/symbols/AVALON/?exchange=NSE,True,True,True,True,True,True,True,True,True
SKYGOLD,daily,794.75,745.545,544.2533325195312,490.2577490234375,11.443111502436176,868.7999877929688,259.0,206.85328185328186,9.31739387140218,98.89042995839112,9,https://www.tradingview.com/symbols/SKYGOLD/?exchange=NSE,True,True,True,True,True,True,True,True,True
SANSERA,daily,4297.0,3715.199619140625,2952.8798754882814,2664.197147216797,10.730462403560459,4328.0,1362.8258521500732,215.30074023917317,0.7214335582964804,98.75173370319001,9,https://www.tradingview.com/symbols/SANSERA/?exchange=NSE,True,True,True,True,True,True,True,True,True
ATHERENERG,daily,1593.0,1460.657998046875,1084.8983321126302,982.1032489013672,11.44971533513246,1744.0,534.5,198.0355472404116,9.478970495919658,98.6130374479889,9,https://www.tradingview.com/symbols/ATHERENERG/?exchange=NSE,True,True,True,True,True,True,True,True,True
TDPOWERSYS,daily,747.2999877929688,678.1017919921875,584.3939689127604,527.5214668273926,8.172754180003361,817.5499877929688,265.41641326793655,181.55756405259424,9.400508650812656,98.47434119278779,9,https://www.tradingview.com/symbols/TDPOWERSYS/?exchange=NSE,True,True,True,True,True,True,True,True,True
SYRMA,daily,1713.300048828125,1463.8904833984375,1176.2208060709636,1069.0906481933594,7.750972843200499,1764.0,633.8515990037583,170.29987011486045,2.9591986066044296,98.19694868238558,9,https://www.tradingview.com/symbols/SYRMA/?exchange=NSE,True,True,True,True,True,True,True,True,True
LAURUSLABS,daily,2017.5,1810.8780029296875,1419.4398620605468,1323.058551940918,8.191300692334424,2023.5,821.6033975811163,145.55643342514463,0.29739776951673846,98.05825242718447,9,https://www.tradingview.com/symbols/LAURUSLABS/?exchange=NSE,True,True,True,True,True,True,True,True,True
AEGISLOG,daily,1486.0,1322.6239990234376,964.0170035807291,901.512126159668,7.236396835743597,1500.199951171875,573.0465115667306,159.31577454982153,0.9555821784572593,97.91955617198336,9,https://www.tradingview.com/symbols/AEGISLOG/?exchange=NSE,True,True,True,True,True,True,True,True,True
APARINDS,daily,18945.0,16142.54185546875,13565.867024739584,12279.910305175781,8.325652693606433,19128.0,6777.469795325622,179.52909525419423,0.9659540775930342,97.78085991678225,9,https://www.tradingview.com/symbols/APARINDS/?exchange=NSE,True,True,True,True,True,True,True,True,True
PARAS,daily,1406.5,1346.894931640625,1023.8565466308594,934.1370635986328,9.243487804308415,1583.9105379095645,580.1009628646058,142.45779442504977,12.613618052581899,97.64216366158114,9,https://www.tradingview.com/symbols/PARAS/?exchange=NSE,True,True,True,True,True,True,True,True,True
ACUTAAS,daily,3425.699951171875,3306.6749072265625,2912.3929654947915,2626.123733520508,6.781563164114646,3737.2044731885353,1301.0268289605388,163.3074026543214,9.093164213348558,97.50346740638003,9,https://www.tradingview.com/symbols/ACUTAAS/?exchange=NSE,True,True,True,True,True,True,True,True,True
MARKSANS,daily,338.1000061035156,299.1865087890625,237.8181236775716,222.90740608215333,7.236781467439979,349.95001220703125,154.57339337516265,118.73104984045892,3.504881954922978,97.36477115117891,9,https://www.tradingview.com/symbols/MARKSANS/?exchange=NSE,True,True,True,True,True,True,True,True,True
AETHER,daily,1639.5999755859375,1584.0279956054687,1291.9386702473957,1202.872253112793,7.949997588978053,1717.0,726.4500122070312,125.70031633761846,4.7206651357994955,97.2260748959778,9,https://www.tradingview.com/symbols/AETHER/?exchange=NSE,True,True,True,True,True,True,True,True,True
TMB,daily,886.3499755859375,870.1439990234375,746.7734554036458,697.8832815551758,6.823750131751449,954.2000122070312,413.1587106622762,114.53014367412355,7.6549939064690875,96.80998613037448,9,https://www.tradingview.com/symbols/TMB/?exchange=NSE,True,True,True,True,True,True,True,True,True
